LECROYWR104MXi-A©Ë 52137 Waveform
Segments 1 SegmentSize 5002
Segment TrigTime TimeSinceSegment1
#1 03-Apr-2017 14:53:23 0                 
Time Ampl
-4.000776e-007 7.97051e-005
-3.998776e-007 -4.829e-005
-3.996776e-007 7.97051e-005
-3.994776e-007 1.57076e-005
-3.992776e-007 1.57076e-005
-3.990776e-007 7.97051e-005
-3.988776e-007 7.97051e-005
-3.986776e-007 -0.000112288
-3.984776e-007 -4.829e-005
-3.982776e-007 -0.000240283
-3.980776e-007 -0.000176285
-3.978776e-007 -4.829e-005
-3.976776e-007 -0.000112288
-3.974776e-007 -0.000112288
-3.972776e-007 -4.829e-005
-3.970776e-007 1.57076e-005
-3.968776e-007 -0.000176285
-3.966776e-007 -4.829e-005
-3.964776e-007 -4.829e-005
-3.962776e-007 -0.000240283
-3.960776e-007 -0.000176285
-3.958776e-007 -4.829e-005
-3.956776e-007 -4.829e-005
-3.954776e-007 0.000143703
-3.952776e-007 -4.829e-005
-3.950776e-007 -0.000176285
-3.948776e-007 -0.000112288
-3.946776e-007 1.57076e-005
-3.944776e-007 -4.829e-005
-3.942776e-007 0.000143703
-3.940776e-007 7.97051e-005
-3.938776e-007 -4.829e-005
-3.936776e-007 1.57076e-005
-3.934776e-007 1.57076e-005
-3.932776e-007 7.97051e-005
-3.930776e-007 1.57076e-005
-3.928776e-007 -0.000112288
-3.926776e-007 -0.00030428
-3.924776e-007 -0.000112288
-3.922776e-007 -0.000112288
-3.920776e-007 -4.829e-005
-3.918776e-007 1.57076e-005
-3.916776e-007 -0.000112288
-3.914776e-007 -0.000240283
-3.912776e-007 -0.000176285
-3.910776e-007 -0.000176285
-3.908776e-007 -0.000176285
-3.906776e-007 -4.829e-005
-3.904776e-007 -0.000112288
-3.902776e-007 -0.000176285
-3.900776e-007 1.57076e-005
-3.898776e-007 7.97051e-005
-3.896776e-007 1.57076e-005
-3.894776e-007 1.57076e-005
-3.892776e-007 -4.829e-005
-3.890776e-007 -0.000176285
-3.888776e-007 -4.829e-005
-3.886776e-007 -4.829e-005
-3.884776e-007 -0.000112288
-3.882776e-007 -4.829e-005
-3.880776e-007 -0.000176285
-3.878776e-007 -0.000240283
-3.876776e-007 -0.000112288
-3.874776e-007 -0.000176285
-3.872776e-007 -0.000240283
-3.870776e-007 -0.000240283
-3.868776e-007 -0.00030428
-3.866776e-007 -0.000240283
-3.864776e-007 -0.000176285
-3.862776e-007 -4.829e-005
-3.860776e-007 -0.000112288
-3.858776e-007 -0.000112288
-3.856776e-007 -0.000240283
-3.854776e-007 -0.000368278
-3.852776e-007 -0.000112288
-3.850776e-007 -0.000240283
-3.848776e-007 -0.000368278
-3.846776e-007 -0.000112288
-3.844776e-007 -0.000240283
-3.842776e-007 -0.000176285
-3.840776e-007 -4.829e-005
-3.838776e-007 -4.829e-005
-3.836776e-007 -0.000112288
-3.834776e-007 -0.000112288
-3.832776e-007 -0.000176285
-3.830776e-007 -0.000240283
-3.828776e-007 -0.000176285
-3.826776e-007 -0.000240283
-3.824776e-007 -0.00030428
-3.822776e-007 -0.000240283
-3.820776e-007 -0.000240283
-3.818776e-007 -0.000240283
-3.816776e-007 -4.829e-005
-3.814776e-007 -4.829e-005
-3.812776e-007 -0.000176285
-3.810776e-007 -4.829e-005
-3.808776e-007 -4.829e-005
-3.806776e-007 -0.000112288
-3.804776e-007 7.97051e-005
-3.802776e-007 7.97051e-005
-3.800776e-007 -0.000176285
-3.798776e-007 -0.000112288
-3.796776e-007 -0.000176285
-3.794776e-007 -0.00030428
-3.792776e-007 -0.000112288
-3.790776e-007 -0.000112288
-3.788776e-007 -0.000176285
-3.786776e-007 -0.000112288
-3.784776e-007 1.57076e-005
-3.782776e-007 1.57076e-005
-3.780776e-007 0.000143703
-3.778776e-007 0.000143703
-3.776776e-007 1.57076e-005
-3.774776e-007 1.57076e-005
-3.772776e-007 -4.829e-005
-3.770776e-007 1.57076e-005
-3.768776e-007 1.57076e-005
-3.766776e-007 -0.000176285
-3.764776e-007 -0.000432275
-3.762776e-007 -0.000240283
-3.760776e-007 -0.000240283
-3.758776e-007 -0.000176285
-3.756776e-007 1.57076e-005
-3.754776e-007 -0.000112288
-3.752776e-007 -0.000240283
-3.750776e-007 -0.000176285
-3.748776e-007 -0.000176285
-3.746776e-007 -0.000176285
-3.744776e-007 -4.829e-005
-3.742776e-007 -4.829e-005
-3.740776e-007 -4.829e-005
-3.738776e-007 1.57076e-005
-3.736776e-007 -4.829e-005
-3.734776e-007 -4.829e-005
-3.732776e-007 -4.829e-005
-3.730776e-007 -4.829e-005
-3.728776e-007 -0.000240283
-3.726776e-007 -4.829e-005
-3.724776e-007 7.97051e-005
-3.722776e-007 1.57076e-005
-3.720776e-007 -4.829e-005
-3.718776e-007 -0.000176285
-3.716776e-007 -0.000240283
-3.714776e-007 -0.000112288
-3.712776e-007 -0.000112288
-3.710776e-007 -0.000240283
-3.708776e-007 -4.829e-005
-3.706776e-007 -4.829e-005
-3.704776e-007 -0.000176285
-3.702776e-007 0.000143703
-3.700776e-007 0.000143703
-3.698776e-007 7.97051e-005
-3.696776e-007 1.57076e-005
-3.694776e-007 1.57076e-005
-3.692776e-007 -0.000112288
-3.690776e-007 1.57076e-005
-3.688776e-007 -4.829e-005
-3.686776e-007 -0.000112288
-3.684776e-007 1.57076e-005
-3.682776e-007 -0.000112288
-3.680776e-007 -0.000112288
-3.678776e-007 1.57076e-005
-3.676776e-007 1.57076e-005
-3.674776e-007 -0.000112288
-3.672776e-007 -4.829e-005
-3.670776e-007 -0.000176285
-3.668776e-007 -0.000176285
-3.666776e-007 -4.829e-005
