LECROYWR104MXi-A©Ë 52137 Waveform
Segments 1 SegmentSize 5002
Segment TrigTime TimeSinceSegment1
#1 03-Apr-2017 14:53:22 0                 
Time Ampl
-4.000509e-007 -0.000112288
-3.998509e-007 -0.000112288
-3.996509e-007 -0.000176285
-3.994509e-007 -0.000368278
-3.992509e-007 -0.000496273
-3.990509e-007 -0.00030428
-3.988509e-007 -0.00030428
-3.986509e-007 -0.000496273
-3.984509e-007 -0.000368278
-3.982509e-007 -0.000368278
-3.980509e-007 -0.000368278
-3.978509e-007 -0.000112288
-3.976509e-007 -0.000176285
-3.974509e-007 -0.000240283
-3.972509e-007 -0.000240283
-3.970509e-007 -0.00030428
-3.968509e-007 -0.000240283
-3.966509e-007 1.57076e-005
-3.964509e-007 -0.000112288
-3.962509e-007 -0.000240283
-3.960509e-007 -0.000176285
-3.958509e-007 -0.000112288
-3.956509e-007 -4.829e-005
-3.954509e-007 7.97051e-005
-3.952509e-007 -4.829e-005
-3.950509e-007 -0.000176285
-3.948509e-007 -0.000240283
-3.946509e-007 -0.000176285
-3.944509e-007 -0.000176285
-3.942509e-007 -0.000176285
-3.940509e-007 -0.00030428
-3.938509e-007 -0.000496273
-3.936509e-007 -0.000368278
-3.934509e-007 -0.000240283
-3.932509e-007 -0.00030428
-3.930509e-007 -0.000240283
-3.928509e-007 -0.000368278
-3.926509e-007 -0.000432275
-3.924509e-007 -0.000240283
-3.922509e-007 -0.000176285
-3.920509e-007 -0.000176285
-3.918509e-007 -4.829e-005
-3.916509e-007 -0.000112288
-3.914509e-007 -0.000112288
-3.912509e-007 -4.829e-005
-3.910509e-007 -0.000112288
-3.908509e-007 -0.000240283
-3.906509e-007 -0.000240283
-3.904509e-007 -0.00030428
-3.902509e-007 -0.000432275
-3.900509e-007 -0.000176285
-3.898509e-007 -0.000176285
-3.896509e-007 -0.000240283
-3.894509e-007 -0.000176285
-3.892509e-007 -0.000176285
-3.890509e-007 -0.000432275
-3.888509e-007 -0.000176285
-3.886509e-007 -0.000112288
-3.884509e-007 -0.000240283
-3.882509e-007 -0.00030428
-3.880509e-007 -0.000368278
-3.878509e-007 -0.000496273
-3.876509e-007 -0.000176285
-3.874509e-007 -0.000112288
-3.872509e-007 -4.829e-005
-3.870509e-007 -0.000112288
-3.868509e-007 -0.000176285
-3.866509e-007 -0.000176285
-3.864509e-007 -4.829e-005
-3.862509e-007 1.57076e-005
-3.860509e-007 -4.829e-005
-3.858509e-007 -0.000112288
-3.856509e-007 -4.829e-005
-3.854509e-007 -0.000176285
-3.852509e-007 -4.829e-005
-3.850509e-007 -0.000176285
-3.848509e-007 -0.000240283
-3.846509e-007 -0.000176285
-3.844509e-007 -0.000176285
-3.842509e-007 -0.00030428
-3.840509e-007 -0.000112288
-3.838509e-007 -0.000112288
-3.836509e-007 -0.000240283
-3.834509e-007 -0.00030428
-3.832509e-007 -0.000240283
-3.830509e-007 -0.000112288
-3.828509e-007 -4.829e-005
-3.826509e-007 -0.000176285
-3.824509e-007 -0.000368278
-3.822509e-007 -0.00030428
-3.820509e-007 -0.00030428
-3.818509e-007 -0.00030428
-3.816509e-007 -0.000112288
-3.814509e-007 -0.000240283
-3.812509e-007 -0.000368278
-3.810509e-007 -0.000240283
-3.808509e-007 -0.000240283
-3.806509e-007 -0.000112288
-3.804509e-007 1.57076e-005
-3.802509e-007 -4.829e-005
-3.800509e-007 -0.000240283
-3.798509e-007 -4.829e-005
-3.796509e-007 1.57076e-005
-3.794509e-007 -4.829e-005
-3.792509e-007 -4.829e-005
-3.790509e-007 -0.000176285
-3.788509e-007 -0.000176285
-3.786509e-007 -0.000176285
-3.784509e-007 7.97051e-005
-3.782509e-007 -4.829e-005
-3.780509e-007 7.97051e-005
-3.778509e-007 -0.000112288
-3.776509e-007 -0.000176285
-3.774509e-007 -4.829e-005
-3.772509e-007 -0.000112288
-3.770509e-007 -0.000240283
-3.768509e-007 -0.000112288
-3.766509e-007 -0.000240283
-3.764509e-007 -0.000432275
-3.762509e-007 -0.000240283
-3.760509e-007 -0.000240283
-3.758509e-007 -0.000368278
-3.756509e-007 -0.000240283
-3.754509e-007 -0.000240283
-3.752509e-007 -0.00030428
-3.750509e-007 -4.829e-005
-3.748509e-007 -4.829e-005
-3.746509e-007 -0.000176285
-3.744509e-007 -0.000112288
-3.742509e-007 -0.000240283
-3.740509e-007 -0.00030428
-3.738509e-007 -0.000240283
-3.736509e-007 -0.000240283
-3.734509e-007 -0.00030428
-3.732509e-007 -0.000240283
-3.730509e-007 -0.00030428
-3.728509e-007 -0.000368278
-3.726509e-007 -0.000112288
-3.724509e-007 -4.829e-005
-3.722509e-007 -0.000176285
-3.720509e-007 -4.829e-005
-3.718509e-007 -0.000112288
-3.716509e-007 -0.000240283
-3.714509e-007 -4.829e-005
-3.712509e-007 -0.000112288
-3.710509e-007 -0.000240283
-3.708509e-007 -0.000176285
-3.706509e-007 -0.00030428
-3.704509e-007 -0.000368278
-3.702509e-007 -0.000176285
-3.700509e-007 -0.000176285
-3.698509e-007 -0.000368278
-3.696509e-007 -0.000240283
-3.694509e-007 -0.000240283
-3.692509e-007 -0.000240283
-3.690509e-007 -0.000240283
-3.688509e-007 -4.829e-005
-3.686509e-007 -0.000176285
-3.684509e-007 -0.000176285
-3.682509e-007 -0.000240283
-3.680509e-007 -0.00030428
-3.678509e-007 -0.000176285
-3.676509e-007 -0.000112288
-3.674509e-007 -0.000368278
-3.672509e-007 -0.000240283
-3.670509e-007 -0.000368278
-3.668509e-007 -0.000368278
-3.666509e-007 -0.00030428
-3.664509e-007 -0.000368278
-3.662509e-007 -0.00056027
-3.660509e-007 -0.000432275
-3.658509e-007 -0.000432275
-3.656509e-007 -0.000368278
-3.654509e-007 -0.000176285
-3.652509e-007 -0.000112288
-3.650509e-007 -0.000176285
-3.648509e-007 -0.000112288
-3.646509e-007 -4.829e-005
-3.644509e-007 -4.829e-005
-3.642509e-007 1.57076e-005
-3.640509e-007 -4.829e-005
-3.638509e-007 -0.000240283
-3.636509e-007 -0.000176285
-3.634509e-007 -0.000240283
-3.632509e-007 -0.000176285
-3.630509e-007 -4.829e-005
-3.628509e-007 -4.829e-005
-3.626509e-007 -0.00030428
-3.624509e-007 -0.000112288
-3.622509e-007 -0.000112288
-3.620509e-007 -4.829e-005
-3.618509e-007 1.57076e-005
