LECROYWR104MXi-A©Ë 52137 Waveform
Segments 1 SegmentSize 5002
Segment TrigTime TimeSinceSegment1
#1 03-Apr-2017 14:53:24 0                 
Time Ampl
-4.001456e-007 -0.000240283
-3.999456e-007 -0.000176285
-3.997456e-007 -0.000240283
-3.995456e-007 -0.00030428
-3.993456e-007 -0.000176285
-3.991456e-007 -0.000112288
-3.989456e-007 -0.000112288
-3.987456e-007 -4.829e-005
-3.985456e-007 -0.000176285
-3.983456e-007 -0.000176285
-3.981456e-007 -0.000112288
-3.979456e-007 -0.000176285
-3.977456e-007 -0.00030428
-3.975456e-007 -4.829e-005
-3.973456e-007 -0.000112288
-3.971456e-007 -0.000240283
-3.969456e-007 1.57076e-005
-3.967456e-007 1.57076e-005
-3.965456e-007 -0.000112288
-3.963456e-007 1.57076e-005
-3.961456e-007 -0.000240283
-3.959456e-007 -0.00030428
-3.957456e-007 -0.000176285
-3.955456e-007 -0.00030428
-3.953456e-007 -0.00030428
-3.951456e-007 -0.000176285
-3.949456e-007 -4.829e-005
-3.947456e-007 -4.829e-005
-3.945456e-007 7.97051e-005
-3.943456e-007 7.97051e-005
-3.941456e-007 -0.000112288
-3.939456e-007 -0.000112288
-3.937456e-007 -0.00030428
-3.935456e-007 -0.000368278
-3.933456e-007 -0.000176285
-3.931456e-007 -0.000240283
-3.929456e-007 -0.000240283
-3.927456e-007 -0.000112288
-3.925456e-007 -0.000176285
-3.923456e-007 -0.000176285
-3.921456e-007 -4.829e-005
-3.919456e-007 -4.829e-005
-3.917456e-007 -0.000176285
-3.915456e-007 -0.000112288
-3.913456e-007 -0.000112288
-3.911456e-007 -4.829e-005
-3.909456e-007 -4.829e-005
-3.907456e-007 -0.000112288
-3.905456e-007 -0.000240283
-3.903456e-007 -0.000112288
-3.901456e-007 -0.000240283
-3.899456e-007 -0.000368278
-3.897456e-007 -0.000112288
-3.895456e-007 -0.000176285
-3.893456e-007 -0.00030428
-3.891456e-007 -0.000176285
-3.889456e-007 -0.000240283
-3.887456e-007 -0.000112288
-3.885456e-007 1.57076e-005
-3.883456e-007 1.57076e-005
-3.881456e-007 -0.000176285
-3.879456e-007 -4.829e-005
-3.877456e-007 -0.000112288
-3.875456e-007 -0.000240283
-3.873456e-007 -4.829e-005
-3.871456e-007 -4.829e-005
-3.869456e-007 -0.000240283
-3.867456e-007 -0.000112288
-3.865456e-007 -0.000240283
-3.863456e-007 -0.000176285
-3.861456e-007 -0.000112288
-3.859456e-007 1.57076e-005
-3.857456e-007 -4.829e-005
