LECROYWR104MXi-A©Ë 52137 Waveform
Segments 1 SegmentSize 5002
Segment TrigTime TimeSinceSegment1
#1 03-Apr-2017 14:53:22 0                 
Time Ampl
-4.00077e-007 -0.000112288
-3.99877e-007 -4.829e-005
-3.99677e-007 -4.829e-005
-3.99477e-007 -4.829e-005
-3.99277e-007 -4.829e-005
-3.99077e-007 -0.000112288
-3.98877e-007 -4.829e-005
-3.98677e-007 -0.000112288
-3.98477e-007 -0.000112288
-3.98277e-007 -0.000112288
-3.98077e-007 1.57076e-005
-3.97877e-007 -4.829e-005
-3.97677e-007 -0.000240283
-3.97477e-007 -0.000240283
-3.97277e-007 -0.000112288
-3.97077e-007 1.57076e-005
-3.96877e-007 7.97051e-005
-3.96677e-007 -4.829e-005
-3.96477e-007 -0.000240283
-3.96277e-007 -0.000112288
-3.96077e-007 -4.829e-005
-3.95877e-007 -0.000176285
-3.95677e-007 -0.000112288
-3.95477e-007 -0.000112288
-3.95277e-007 -0.000176285
-3.95077e-007 -0.000112288
-3.94877e-007 -0.000176285
-3.94677e-007 -0.000176285
-3.94477e-007 -4.829e-005
-3.94277e-007 -0.000112288
-3.94077e-007 -0.000176285
-3.93877e-007 -0.000176285
-3.93677e-007 -0.000112288
-3.93477e-007 -0.000240283
-3.93277e-007 -0.000176285
-3.93077e-007 -0.000240283
-3.92877e-007 -0.00030428
-3.92677e-007 -0.00030428
-3.92477e-007 -0.00030428
-3.92277e-007 -0.000368278
-3.92077e-007 -0.00030428
-3.91877e-007 -0.000240283
-3.91677e-007 -0.00030428
-3.91477e-007 -4.829e-005
-3.91277e-007 -0.000112288
-3.91077e-007 -0.000112288
-3.90877e-007 1.57076e-005
-3.90677e-007 -0.000112288
-3.90477e-007 -0.000112288
-3.90277e-007 -0.000112288
-3.90077e-007 -0.000112288
-3.89877e-007 -4.829e-005
-3.89677e-007 -4.829e-005
-3.89477e-007 -0.000112288
-3.89277e-007 -0.000240283
-3.89077e-007 -4.829e-005
-3.88877e-007 1.57076e-005
-3.88677e-007 -4.829e-005
-3.88477e-007 1.57076e-005
-3.88277e-007 -0.000176285
-3.88077e-007 -0.000240283
-3.87877e-007 -0.000176285
-3.87677e-007 -0.000112288
-3.87477e-007 -0.000112288
-3.87277e-007 -0.000112288
-3.87077e-007 -0.000176285
-3.86877e-007 -0.00030428
-3.86677e-007 -4.829e-005
-3.86477e-007 7.97051e-005
-3.86277e-007 7.97051e-005
-3.86077e-007 1.57076e-005
-3.85877e-007 -4.829e-005
-3.85677e-007 1.57076e-005
-3.85477e-007 0.000143703
-3.85277e-007 0.000143703
-3.85077e-007 -4.829e-005
-3.84877e-007 -4.829e-005
-3.84677e-007 -0.000176285
-3.84477e-007 -0.000176285
-3.84277e-007 -4.829e-005
-3.84077e-007 -0.000112288
-3.83877e-007 -0.00030428
-3.83677e-007 -0.000240283
-3.83477e-007 -0.00030428
-3.83277e-007 -0.000368278
-3.83077e-007 -0.000112288
-3.82877e-007 -0.000176285
-3.82677e-007 -0.000240283
-3.82477e-007 -0.000240283
-3.82277e-007 -0.000176285
-3.82077e-007 -0.000176285
-3.81877e-007 -4.829e-005
-3.81677e-007 7.97051e-005
-3.81477e-007 -0.000176285
-3.81277e-007 -4.829e-005
-3.81077e-007 1.57076e-005
-3.80877e-007 1.57076e-005
-3.80677e-007 1.57076e-005
-3.80477e-007 -0.000176285
-3.80277e-007 -0.000432275
-3.80077e-007 -0.000240283
-3.79877e-007 -0.000240283
-3.79677e-007 -0.000112288
-3.79477e-007 -4.829e-005
-3.79277e-007 -0.000176285
-3.79077e-007 -0.00030428
-3.78877e-007 -0.000176285
-3.78677e-007 -0.000112288
-3.78477e-007 -0.000112288
-3.78277e-007 -0.000112288
-3.78077e-007 -4.829e-005
-3.77877e-007 -0.000368278
-3.77677e-007 -0.000240283
-3.77477e-007 -0.000112288
-3.77277e-007 -0.000176285
-3.77077e-007 -4.829e-005
-3.76877e-007 -0.000176285
-3.76677e-007 -0.000240283
-3.76477e-007 -0.000112288
-3.76277e-007 -0.000176285
-3.76077e-007 -0.000240283
-3.75877e-007 -0.000240283
-3.75677e-007 -0.00030428
-3.75477e-007 -0.000368278
-3.75277e-007 -0.000176285
-3.75077e-007 -0.000112288
-3.74877e-007 -0.000240283
-3.74677e-007 -0.000112288
-3.74477e-007 -0.000240283
-3.74277e-007 -0.000368278
-3.74077e-007 -0.000112288
-3.73877e-007 -4.829e-005
-3.73677e-007 -0.000112288
-3.73477e-007 1.57076e-005
-3.73277e-007 -4.829e-005
-3.73077e-007 -0.000112288
-3.72877e-007 7.97051e-005
-3.72677e-007 7.97051e-005
-3.72477e-007 -4.829e-005
-3.72277e-007 1.57076e-005
-3.72077e-007 1.57076e-005
-3.71877e-007 -4.829e-005
-3.71677e-007 7.97051e-005
-3.71477e-007 7.97051e-005
-3.71277e-007 7.97051e-005
-3.71077e-007 1.57076e-005
-3.70877e-007 -0.000112288
-3.70677e-007 -0.000112288
-3.70477e-007 7.97051e-005
-3.70277e-007 7.97051e-005
-3.70077e-007 -4.829e-005
-3.69877e-007 1.57076e-005
-3.69677e-007 -0.000112288
-3.69477e-007 -4.829e-005
-3.69277e-007 1.57076e-005
-3.69077e-007 -4.829e-005
-3.68877e-007 -0.000176285
-3.68677e-007 -0.000240283
-3.68477e-007 -0.000368278
-3.68277e-007 -0.000368278
-3.68077e-007 -0.000176285
-3.67877e-007 -0.000176285
-3.67677e-007 -0.000368278
-3.67477e-007 -0.000240283
-3.67277e-007 -0.000240283
-3.67077e-007 -0.000240283
-3.66877e-007 -0.000112288
-3.66677e-007 -4.829e-005
-3.66477e-007 -0.000112288
-3.66277e-007 -0.000176285
-3.66077e-007 -0.000176285
-3.65877e-007 -0.00030428
-3.65677e-007 -4.829e-005
-3.65477e-007 -0.000176285
-3.65277e-007 -0.00030428
-3.65077e-007 -0.000176285
-3.64877e-007 -0.000240283
-3.64677e-007 -0.00030428
-3.64477e-007 -4.829e-005
-3.64277e-007 -4.829e-005
-3.64077e-007 -0.000240283
-3.63877e-007 -0.000176285
-3.63677e-007 -0.000176285
-3.63477e-007 -0.00030428
-3.63277e-007 -0.000112288
-3.63077e-007 -0.000240283
-3.62877e-007 -0.00030428
-3.62677e-007 -0.000176285
-3.62477e-007 -0.000176285
-3.62277e-007 -0.000112288
-3.62077e-007 7.97051e-005
-3.61877e-007 -0.000112288
-3.61677e-007 -0.000112288
-3.61477e-007 -4.829e-005
-3.61277e-007 1.57076e-005
-3.61077e-007 -4.829e-005
-3.60877e-007 -0.000112288
-3.60677e-007 -0.000176285
-3.60477e-007 -0.000368278
-3.60277e-007 -0.000176285
-3.60077e-007 -0.000176285
-3.59877e-007 -0.000240283
-3.59677e-007 -0.000176285
-3.59477e-007 -0.000240283
-3.59277e-007 -0.00030428
-3.59077e-007 1.57076e-005
-3.58877e-007 -4.829e-005
-3.58677e-007 1.57076e-005
-3.58477e-007 -0.000176285
-3.58277e-007 -0.000240283
-3.58077e-007 -0.00030428
-3.57877e-007 -0.000176285
-3.57677e-007 -4.829e-005
-3.57477e-007 1.57076e-005
-3.57277e-007 -4.829e-005
-3.57077e-007 -0.000112288
-3.56877e-007 -0.00030428
-3.56677e-007 -0.000176285
-3.56477e-007 -0.000240283
-3.56277e-007 -0.000240283
-3.56077e-007 -0.00030428
-3.55877e-007 -0.000368278
-3.55677e-007 -0.000432275
-3.55477e-007 -0.000240283
-3.55277e-007 -0.000112288
-3.55077e-007 -0.000240283
-3.54877e-007 -4.829e-005
-3.54677e-007 -0.00030428
-3.54477e-007 -0.000368278
-3.54277e-007 -0.000176285
-3.54077e-007 -0.000176285
-3.53877e-007 -0.000240283
-3.53677e-007 -0.000176285
-3.53477e-007 -0.000112288
-3.53277e-007 -0.000112288
-3.53077e-007 1.57076e-005
-3.52877e-007 -0.000176285
-3.52677e-007 -0.00030428
-3.52477e-007 -0.000240283
-3.52277e-007 -0.000240283
-3.52077e-007 -0.000240283
-3.51877e-007 -0.000176285
-3.51677e-007 -0.000112288
-3.51477e-007 -0.000240283
-3.51277e-007 -4.829e-005
-3.51077e-007 -0.000176285
-3.50877e-007 -0.00030428
-3.50677e-007 -0.000176285
-3.50477e-007 -0.000240283
-3.50277e-007 -0.000432275
-3.50077e-007 -0.000240283
-3.49877e-007 -0.000240283
-3.49677e-007 -0.00030428
-3.49477e-007 7.97051e-005
-3.49277e-007 -0.000112288
-3.49077e-007 -0.000176285
-3.48877e-007 -0.000176285
-3.48677e-007 -0.000368278
-3.48477e-007 -0.000368278
-3.48277e-007 -0.000176285
-3.48077e-007 -0.000112288
-3.47877e-007 -0.00030428
-3.47677e-007 -0.000240283
-3.47477e-007 -0.000176285
-3.47277e-007 -0.000112288
-3.47077e-007 -4.829e-005
-3.46877e-007 -0.000176285
-3.46677e-007 -0.000432275
-3.46477e-007 -0.000240283
-3.46277e-007 -0.000240283
-3.46077e-007 -0.000176285
-3.45877e-007 -4.829e-005
-3.45677e-007 -0.000112288
-3.45477e-007 -0.000112288
-3.45277e-007 -0.000176285
-3.45077e-007 -0.000176285
-3.44877e-007 -0.000240283
-3.44677e-007 -0.000112288
-3.44477e-007 -0.000368278
-3.44277e-007 -0.000368278
-3.44077e-007 -0.00030428
-3.43877e-007 -0.000240283
-3.43677e-007 -4.829e-005
-3.43477e-007 -4.829e-005
-3.43277e-007 -0.000112288
-3.43077e-007 -0.00030428
-3.42877e-007 -0.000240283
-3.42677e-007 -0.000240283
-3.42477e-007 -0.000368278
-3.42277e-007 -0.000176285
-3.42077e-007 -0.000432275
-3.41877e-007 -0.000432275
-3.41677e-007 -0.000368278
-3.41477e-007 -0.00030428
-3.41277e-007 -0.000368278
-3.41077e-007 -0.000176285
-3.40877e-007 -0.000240283
-3.40677e-007 -0.00030428
-3.40477e-007 -0.000112288
-3.40277e-007 -0.000112288
-3.40077e-007 -0.000176285
-3.39877e-007 -4.829e-005
-3.39677e-007 -0.000176285
