LECROYWR104MXi-A©Ë 52137 Waveform
Segments 1 SegmentSize 5002
Segment TrigTime TimeSinceSegment1
#1 03-Apr-2017 14:53:25 0                 
Time Ampl
-4.001375e-007 -0.00030428
-3.999375e-007 -0.000112288
-3.997375e-007 -0.000240283
-3.995375e-007 -0.00030428
-3.993375e-007 -0.00030428
-3.991375e-007 -0.000240283
-3.989375e-007 -0.000432275
-3.987375e-007 -0.000368278
-3.985375e-007 -0.000368278
-3.983375e-007 -0.000368278
-3.981375e-007 -0.000112288
-3.979375e-007 -0.000240283
-3.977375e-007 -0.00030428
-3.975375e-007 -0.000176285
-3.973375e-007 -0.000240283
-3.971375e-007 -0.00030428
-3.969375e-007 -0.000112288
-3.967375e-007 -0.000112288
-3.965375e-007 -0.00030428
-3.963375e-007 -0.000240283
-3.961375e-007 -0.00030428
-3.959375e-007 -0.000432275
-3.957375e-007 -0.000240283
-3.955375e-007 -0.000368278
-3.953375e-007 -0.000368278
-3.951375e-007 -0.000176285
-3.949375e-007 -0.000240283
-3.947375e-007 -0.000176285
-3.945375e-007 -0.000176285
-3.943375e-007 -0.000112288
-3.941375e-007 -0.000176285
-3.939375e-007 -0.000112288
-3.937375e-007 -0.000112288
-3.935375e-007 -0.000112288
-3.933375e-007 1.57076e-005
-3.931375e-007 -0.000112288
-3.929375e-007 -0.000176285
-3.927375e-007 -0.000176285
-3.925375e-007 -0.000112288
-3.923375e-007 -0.000240283
-3.921375e-007 -0.000112288
-3.919375e-007 -0.000240283
-3.917375e-007 -0.000368278
-3.915375e-007 -0.00030428
-3.913375e-007 -0.000176285
-3.911375e-007 -0.000240283
-3.909375e-007 -0.000112288
-3.907375e-007 -0.000176285
-3.905375e-007 -0.000240283
-3.903375e-007 -0.000176285
-3.901375e-007 -0.000176285
-3.899375e-007 -0.000240283
-3.897375e-007 -0.000176285
-3.895375e-007 -0.000240283
-3.893375e-007 -0.00030428
-3.891375e-007 -0.000176285
-3.889375e-007 -0.000176285
-3.887375e-007 -0.000176285
-3.885375e-007 -4.829e-005
-3.883375e-007 -0.000176285
-3.881375e-007 -0.00030428
-3.879375e-007 -0.000240283
-3.877375e-007 -0.000112288
-3.875375e-007 -0.000112288
-3.873375e-007 -0.000112288
-3.871375e-007 -4.829e-005
-3.869375e-007 -4.829e-005
-3.867375e-007 -0.000112288
-3.865375e-007 -0.000112288
-3.863375e-007 -0.000368278
-3.861375e-007 -0.000240283
-3.859375e-007 -0.000368278
-3.857375e-007 -0.000368278
-3.855375e-007 -0.000240283
-3.853375e-007 -0.000112288
-3.851375e-007 -0.000112288
-3.849375e-007 -4.829e-005
-3.847375e-007 -0.000240283
-3.845375e-007 -0.000368278
-3.843375e-007 -0.000176285
-3.841375e-007 -0.000240283
-3.839375e-007 -0.00030428
-3.837375e-007 -0.000368278
-3.835375e-007 -0.00030428
-3.833375e-007 -0.000368278
-3.831375e-007 -0.000112288
-3.829375e-007 -4.829e-005
-3.827375e-007 -4.829e-005
-3.825375e-007 -0.000112288
-3.823375e-007 -0.000176285
-3.821375e-007 -0.000112288
-3.819375e-007 1.57076e-005
-3.817375e-007 -0.000112288
-3.815375e-007 -0.000112288
