LECROYWR104MXi-A©Ë 52137 Waveform
Segments 1 SegmentSize 5002
Segment TrigTime TimeSinceSegment1
#1 03-Apr-2017 14:53:24 0                 
Time Ampl
-4.00091e-007 1.57076e-005
-3.99891e-007 -0.000176285
-3.99691e-007 -4.829e-005
-3.99491e-007 1.57076e-005
-3.99291e-007 -4.829e-005
-3.99091e-007 1.57076e-005
-3.98891e-007 -0.000112288
-3.98691e-007 -0.000240283
-3.98491e-007 -0.000176285
-3.98291e-007 -0.000112288
-3.98091e-007 -0.000112288
-3.97891e-007 -0.000112288
-3.97691e-007 -0.000240283
-3.97491e-007 -0.000240283
-3.97291e-007 -0.000240283
-3.97091e-007 -0.000112288
-3.96891e-007 -0.000240283
-3.96691e-007 -4.829e-005
-3.96491e-007 -0.000240283
-3.96291e-007 -0.00030428
-3.96091e-007 -0.000176285
-3.95891e-007 -0.000176285
-3.95691e-007 -0.000240283
-3.95491e-007 -0.000176285
-3.95291e-007 -0.000240283
-3.95091e-007 -0.000368278
-3.94891e-007 -0.000240283
-3.94691e-007 -0.000240283
-3.94491e-007 -0.000368278
-3.94291e-007 -0.000176285
-3.94091e-007 -0.000176285
-3.93891e-007 -0.000240283
-3.93691e-007 -0.000176285
-3.93491e-007 -0.000240283
-3.93291e-007 -0.000112288
-3.93091e-007 -0.000112288
-3.92891e-007 -4.829e-005
-3.92691e-007 -0.000240283
-3.92491e-007 -0.000176285
-3.92291e-007 -0.000240283
-3.92091e-007 -0.000240283
-3.91891e-007 -0.000112288
-3.91691e-007 -0.000176285
-3.91491e-007 -0.000176285
-3.91291e-007 7.97051e-005
-3.91091e-007 0.000143703
-3.90891e-007 1.57076e-005
-3.90691e-007 7.97051e-005
-3.90491e-007 1.57076e-005
-3.90291e-007 -0.000112288
-3.90091e-007 1.57076e-005
-3.89891e-007 -0.000176285
-3.89691e-007 -0.000240283
-3.89491e-007 -0.000112288
-3.89291e-007 -0.000176285
-3.89091e-007 -0.000112288
-3.88891e-007 1.57076e-005
-3.88691e-007 7.97051e-005
-3.88491e-007 -4.829e-005
-3.88291e-007 -4.829e-005
-3.88091e-007 -4.829e-005
-3.87891e-007 -0.000176285
-3.87691e-007 -0.000176285
-3.87491e-007 -0.000176285
-3.87291e-007 -0.000176285
-3.87091e-007 -0.000112288
-3.86891e-007 -0.000176285
-3.86691e-007 -0.000240283
-3.86491e-007 -0.000176285
-3.86291e-007 -0.000368278
-3.86091e-007 -0.000368278
-3.85891e-007 -0.00030428
-3.85691e-007 -0.000240283
-3.85491e-007 -0.000240283
-3.85291e-007 1.57076e-005
-3.85091e-007 -0.000112288
-3.84891e-007 -0.000240283
-3.84691e-007 -0.000176285
-3.84491e-007 -0.00030428
-3.84291e-007 -0.000432275
-3.84091e-007 -0.00030428
-3.83891e-007 -0.000432275
-3.83691e-007 -0.000368278
-3.83491e-007 -0.000240283
-3.83291e-007 -0.000176285
-3.83091e-007 -0.000176285
-3.82891e-007 -4.829e-005
-3.82691e-007 -4.829e-005
-3.82491e-007 -0.000176285
-3.82291e-007 -4.829e-005
-3.82091e-007 1.57076e-005
-3.81891e-007 -0.000112288
-3.81691e-007 7.97051e-005
-3.81491e-007 -0.000112288
-3.81291e-007 -0.000112288
-3.81091e-007 -0.000112288
-3.80891e-007 -0.000240283
-3.80691e-007 -0.000240283
-3.80491e-007 -0.000240283
-3.80291e-007 -0.00030428
-3.80091e-007 -0.000432275
-3.79891e-007 -0.000240283
-3.79691e-007 -0.000240283
-3.79491e-007 -0.000240283
-3.79291e-007 -0.000176285
-3.79091e-007 -0.000176285
-3.78891e-007 -0.000176285
-3.78691e-007 1.57076e-005
-3.78491e-007 -0.000176285
-3.78291e-007 -0.00030428
-3.78091e-007 -0.000176285
-3.77891e-007 -0.000368278
-3.77691e-007 -0.00030428
-3.77491e-007 -0.000112288
-3.77291e-007 -0.000112288
-3.77091e-007 -0.00030428
-3.76891e-007 -0.000112288
-3.76691e-007 -0.000112288
-3.76491e-007 -0.000240283
-3.76291e-007 -4.829e-005
-3.76091e-007 -4.829e-005
-3.75891e-007 -0.000112288
-3.75691e-007 -4.829e-005
-3.75491e-007 -4.829e-005
-3.75291e-007 -4.829e-005
-3.75091e-007 1.57076e-005
-3.74891e-007 1.57076e-005
-3.74691e-007 -0.000240283
-3.74491e-007 -0.000176285
-3.74291e-007 -0.000368278
-3.74091e-007 -0.000368278
-3.73891e-007 -0.000176285
-3.73691e-007 -0.000176285
-3.73491e-007 -0.00030428
-3.73291e-007 -0.000240283
-3.73091e-007 -0.000240283
-3.72891e-007 -0.000176285
-3.72691e-007 -4.829e-005
-3.72491e-007 -0.000240283
-3.72291e-007 -0.000368278
-3.72091e-007 -0.000176285
-3.71891e-007 -0.000112288
-3.71691e-007 -0.000176285
-3.71491e-007 7.97051e-005
-3.71291e-007 -4.829e-005
-3.71091e-007 -0.000176285
-3.70891e-007 -0.000112288
-3.70691e-007 -0.000176285
-3.70491e-007 -0.000176285
-3.70291e-007 -0.000112288
-3.70091e-007 -4.829e-005
-3.69891e-007 -0.000176285
